Faculty ID,Official name,Follow-up flags
sarah-anne-abraham,Sarah Anne Abraham,research_source_not_connected
sarah-ellen-ades,Sarah Ellen Ades,research_source_not_connected
nandini-chari-aiyappan,Nandini Chari Aiyappan,profile_url_not_connected; research_source_not_connected
ishraq-al-awamleh,Ishraq Al-Awamleh,research_source_not_connected
eman-alasadi,Eman Alasadi,research_source_not_connected
kelli-rae-allen,Kelli Rae Allen,research_source_not_connected
william-j-allen,William J Allen,profile_url_not_connected; research_source_not_connected
natalie-younok-ammon,Natalie Younok Ammon,research_source_not_connected
brian-r-anderson,Brian R Anderson,profile_url_not_connected; research_source_not_connected
haseeb-ansari,Haseeb Ansari,research_source_not_connected
dhivya-arasappan,Dhivya Arasappan,research_source_not_connected
venkat-arun,Venkat Arun,profile_url_not_connected; research_source_not_connected
celest-m-austin,Celest M Austin,research_source_not_connected
william-j-babler,William J Babler,research_source_not_connected
joshua-dana-baer,Joshua Dana Baer,profile_url_not_connected; research_source_not_connected
angela-chappell-beasley,Angela Chappell Beasley,research_source_not_connected
patrick-benfield,Patrick Benfield,research_source_not_connected
nolan-bradford-bentley,Nolan Bradford Bentley,research_source_not_connected
william-marshall-best,William Marshall Best,profile_url_not_connected; research_source_not_connected
sanchita-bhadra,Sanchita Bhadra,research_source_not_connected
vertica-bhardwaj,Vertica Bhardwaj,profile_url_not_connected; research_source_not_connected
kirk-d-blazek,Kirk D Blazek,research_source_not_connected
cheasequah-j-blevins,Cheasequah J Blevins,research_source_not_connected
lauren-alexandra-blondeau,Lauren Alexandra Blondeau,research_source_not_connected
megan-boulette,Megan Boulette,research_source_not_connected
michael-boylan-kolchin,Michael Boylan-Kolchin,profile_url_not_connected; research_source_not_connected
boris-breizman,Boris Breizman,research_source_not_connected
chad-d-brock,Chad D Brock,profile_url_not_connected; research_source_not_connected
jay-r-brown,Jay R Brown,research_source_not_connected
katherine-m-bruner,Katherine M Bruner,research_source_not_connected
deanna-buckley,Deanna Buckley,research_source_not_connected
william-c-bulko,William C Bulko,research_source_not_connected
scott-burghart,Scott Burghart,profile_url_not_connected; research_source_not_connected
ruth-e-buskirk,Ruth E Buskirk,profile_url_not_connected; research_source_not_connected
courtney-e-byrd-williams,Courtney E Byrd-Williams,research_source_not_connected
cynthia-cabrera,Cynthia Cabrera,research_source_not_connected
eric-d-cambronne,Eric D Cambronne,research_source_not_connected
emily-caudill,Emily Caudill,research_source_not_connected
gustavo-e-cepparo,Gustavo E Cepparo,research_source_not_connected
wenrui-chai,Wenrui Chai,research_source_not_connected
jessica-h-chancey,Jessica H Chancey,profile_url_not_connected; research_source_not_connected
laura-m-chase,Laura M Chase,research_source_not_connected
siddhartha-chatterjee,Siddhartha Chatterjee,research_source_not_connected
james-r-chelikowsky,James R Chelikowsky,profile_url_not_connected; research_source_not_connected
su-chen,Su Chen,research_source_not_connected
z-jeffrey-chen,Z Jeffrey Chen,profile_url_not_connected; research_source_not_connected
shao-ying-cheng,Shao-Ying Cheng,research_source_not_connected
antonia-chimonidou,Antonia Chimonidou,research_source_not_connected
eunsol-choi,Eunsol Choi,profile_url_not_connected; research_source_not_connected
gail-chovan,Gail Chovan,profile_url_not_connected; research_source_not_connected
jessica-ciarla,Jessica Ciarla,research_source_not_connected
gregory-b-clark,Gregory B Clark,profile_url_not_connected; research_source_not_connected
shirley-cohen,Shirley Cohen,profile_url_not_connected; research_source_not_connected
